date,exon_price,oil_price
28-03-2014, $97.70 , $106.64 
31-03-2014, $97.68 , $105.95 
01-04-2014, $97.73 , $105.70 
02-04-2014, $97.95 , $103.37 
03-04-2014, $97.93 , $104.88 
04-04-2014, $97.36 , $106.41 
07-04-2014, $96.78 , $104.89 
08-04-2014, $97.45 , $105.83 
09-04-2014, $97.33 , $107.39 
10-04-2014, $96.78 , $107.10 
11-04-2014, $96.72 , $107.34 
14-04-2014, $97.86 , $107.68 
15-04-2014, $98.68 , $109.10 
16-04-2014, $99.94 , $109.71 
17-04-2014, $100.42 , $109.79 
21-04-2014, $100.93 , $109.69 
22-04-2014, $100.37 , $108.54 
23-04-2014, $100.50 , $108.48 
24-04-2014, $100.01 , $109.79 
25-04-2014, $100.41 , $109.53 
28-04-2014, $101.17 , $109.12 
29-04-2014, $101.45 , $109.89 
30-04-2014, $102.41 , $108.63 
01-05-2014, $101.41 , $108.63 
02-05-2014, $102.01 , $109.48 
05-05-2014, $102.91 , $109.48 
06-05-2014, $102.67 , $108.30 
07-05-2014, $103.11 , $108.17 
08-05-2014, $102.32 , $108.19 
09-05-2014, $101.95 , $108.26 
12-05-2014, $102.23 , $108.37 
13-05-2014, $102.36 , $108.78 
14-05-2014, $102.29 , $109.87 
15-05-2014, $100.78 , $109.74 
16-05-2014, $100.74 , $110.90 
19-05-2014, $100.87 , $110.84 
20-05-2014, $100.67 , $110.35 
21-05-2014, $102.03 , $111.32 
22-05-2014, $101.50 , $110.89 
23-05-2014, $101.32 , $110.19 
27-05-2014, $101.36 , $109.81 
28-05-2014, $101.06 , $109.09 
29-05-2014, $101.27 , $109.98 
30-05-2014, $100.53 , $109.21 
02-06-2014, $99.94 , $109.34 
03-06-2014, $100.39 , $108.87 
04-06-2014, $100.04 , $109.07 
05-06-2014, $100.55 , $108.43 
06-06-2014, $101.60 , $109.21 
09-06-2014, $101.52 , $110.55 
10-06-2014, $101.46 , $109.18 
11-06-2014, $101.95 , $109.83 
12-06-2014, $101.66 , $112.18 
13-06-2014, $102.65 , $113.15 
16-06-2014, $102.92 , $113.42 
17-06-2014, $102.42 , $114.02 
18-06-2014, $102.73 , $114.25 
19-06-2014, $102.63 , $115.19 
20-06-2014, $103.83 , $114.55 
23-06-2014, $104.38 , $113.62 
24-06-2014, $102.73 , $113.74 
25-06-2014, $102.14 , $112.84 
26-06-2014, $102.03 , $112.61 
27-06-2014, $101.21 , $112.62 
30-06-2014, $100.68 , $111.03 
01-07-2014, $101.36 , $110.84 
02-07-2014, $101.57 , $110.18 
03-07-2014, $102.59 , $108.98 
07-07-2014, $102.65 , $108.70 
08-07-2014, $102.83 , $107.65 
09-07-2014, $103.55 , $106.84 
10-07-2014, $102.57 , $106.20 
11-07-2014, $101.74 , $105.77 
14-07-2014, $102.68 , $104.73 
15-07-2014, $102.39 , $104.73 
16-07-2014, $103.77 , $105.41 
17-07-2014, $102.31 , $106.04 
18-07-2014, $102.73 , $106.03 
21-07-2014, $103.08 , $105.71 
22-07-2014, $103.54 , $106.48 
23-07-2014, $104.25 , $106.85 
24-07-2014, $104.28 , $105.78 
25-07-2014, $103.18 , $106.89 
28-07-2014, $104.37 , $106.70 
29-07-2014, $103.55 , $106.98 
30-07-2014, $103.25 , $106.47 
31-07-2014, $98.94 , $104.94 
01-08-2014, $98.80 , $103.45 
04-08-2014, $100.13 , $103.63 
05-08-2014, $98.20 , $102.82 
06-08-2014, $98.98 , $104.17 
07-08-2014, $98.27 , $104.02 
08-08-2014, $99.74 , $103.36 
11-08-2014, $98.73 , $103.47 
12-08-2014, $98.49 , $101.68 
13-08-2014, $99.09 , $102.27 
14-08-2014, $99.09 , $101.15 
15-08-2014, $99.03 , $101.13 
18-08-2014, $99.52 , $99.37 
19-08-2014, $99.49 , $99.74 
20-08-2014, $99.70 , $99.92 
21-08-2014, $99.28 , $100.28 
22-08-2014, $98.50 , $100.09 
25-08-2014, $98.75 , $100.49 
26-08-2014, $99.64 , $100.50 
27-08-2014, $99.53 , $100.40 
28-08-2014, $99.57 , $100.71 
29-08-2014, $99.46 , $101.12 
02-09-2014, $98.49 , $100.21 
03-09-2014, $99.11 , $100.88 
04-09-2014, $98.36 , $101.21 
05-09-2014, $99.26 , $99.51 
08-09-2014, $97.77 , $99.53 
09-09-2014, $97.39 , $98.08 
10-09-2014, $96.81 , $96.26 
11-09-2014, $97.03 , $96.42 
12-09-2014, $95.78 , $96.31 
15-09-2014, $96.29 , $96.43 
16-09-2014, $97.43 , $97.39 
17-09-2014, $97.08 , $97.70 
18-09-2014, $96.61 , $96.82 
19-09-2014, $97.12 , $96.75 
22-09-2014, $96.54 , $95.37 
23-09-2014, $96.03 , $94.87 
24-09-2014, $95.82 , $94.53 
25-09-2014, $94.25 , $95.20 
26-09-2014, $95.43 , $95.08 
29-09-2014, $94.43 , $95.70 
30-09-2014, $94.05 , $94.67 
01-10-2014, $92.86 , $94.57 
02-10-2014, $93.30 , $91.29 
